Dummy,ClimateID, WeatherID,jday,date,Hour,Srad,wind,RH,rain,tmax,tmin,temperature,CO2
Del,Del,Del,109,4/19/2006,18,0.166,,25,0,,,21.31,
Del,Del,Del,109,4/19/2006,19,0,,36,0,,,18.2,
Del,Del,Del,109,4/19/2006,20,0,,45,0,,,16.57,
Del,Del,Del,109,4/19/2006,21,0,,51,0,,,15,
Del,Del,Del,109,4/19/2006,22,0,,56,0,,,13.94,
Del,Del,Del,109,4/19/2006,23,0,,61,0,,,13.11,
Del,Del,Del,110,4/20/2006,0,0,,66,0,,,11.81,
Del,Del,Del,110,4/20/2006,1,0,,69,0,,,10.18,
Del,Del,Del,110,4/20/2006,2,0,,66,0,,,9.97,
Del,Del,Del,110,4/20/2006,3,0,,65,0,,,9.69,
Del,Del,Del,110,4/20/2006,4,0,,81,0,,,6.88,
Del,Del,Del,110,4/20/2006,5,0.03,,83,0,,,6.35,
Del,Del,Del,110,4/20/2006,6,0.482,,75,0,,,9.64,
Del,Del,Del,110,4/20/2006,7,1.131,,48,0,,,15.24,
Del,Del,Del,110,4/20/2006,8,1.741,,38,0,,,18.64,
Del,Del,Del,110,4/20/2006,9,2.424,,28,0,,,21.1,
Del,Del,Del,110,4/20/2006,10,2.884,,21,0,,,22.86,
Del,Del,Del,110,4/20/2006,11,3.107,,15,0,,,24.52,
Del,Del,Del,110,4/20/2006,12,3.179,,13,0,,,25.29,
Del,Del,Del,110,4/20/2006,13,3.011,,13,0,,,25.48,
Del,Del,Del,110,4/20/2006,14,2.677,,13,0,,,26.13,
Del,Del,Del,110,4/20/2006,15,2.063,,12,0,,,26.73,
Del,Del,Del,110,4/20/2006,16,1.277,,13,0,,,26.44,
Del,Del,Del,110,4/20/2006,17,0.614,,13,0,,,25.59,
Del,Del,Del,110,4/20/2006,18,0.157,,28,0,,,22.02,
Del,Del,Del,110,4/20/2006,19,0,,35,0,,,18.92,
Del,Del,Del,110,4/20/2006,20,0,,48,0,,,16.58,
Del,Del,Del,110,4/20/2006,21,0,,55,0,,,15.18,
Del,Del,Del,110,4/20/2006,22,0,,55,0,,,15.62,
Del,Del,Del,110,4/20/2006,23,0,,58,0,,,15.78,
Del,Del,Del,111,4/21/2006,0,0,,59,5,,,16.02,
Del,Del,Del,111,4/21/2006,1,0,,65,5,,,15.26,
Del,Del,Del,111,4/21/2006,2,0,,68,5,,,14.81,
Del,Del,Del,111,4/21/2006,3,0,,73,5,,,14.02,
Del,Del,Del,111,4/21/2006,4,0,,83,2.098,,,12.26,
