Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
ETBA1301	2013-08-25	237	15	15	0.276	41	.	.
ETBA1301	2013-09-13	256	15	15	0.344	52	.	.
ETBA1301	2013-09-21	264	15	15	0.295	44	.	.
ETBA1301	2013-10-07	280	15	15	0.165	25	.	.
ETBA1301	2013-10-20	293	15	15	0.145	22	.	.
ETBA1301	2013-11-03	307	15	15	0.062	9	.	.
ETBA1301	2013-11-17	321	15	15	0.058	9	.	.
ETBA1301	2013-11-30	334	15	15	0.044	7	.	.
ETBA1301	2013-12-29	363	15	15	0.005	1	.	.
ETBA1301	2013-06-05	156	25	10	0.151	15	.	.
ETBA1301	2013-06-22	173	25	10	0.325	33	.	.
ETBA1301	2013-07-14	195	25	10	0.287	29	.	.
ETBA1301	2013-06-30	181	25	10	0.200	20	.	.
ETBA1301	2013-07-27	208	25	10	0.292	29	.	.
ETBA1301	2013-08-11	223	25	10	0.409	41	.	.
ETBA1301	2013-08-25	237	25	10	0.291	29	.	.
ETBA1301	2013-09-13	256	25	10	0.292	29	.	.
ETBA1301	2013-09-21	264	25	10	0.284	28	.	.
ETBA1301	2013-10-07	280	25	10	0.253	25	.	.
ETBA1301	2013-10-20	293	25	10	0.217	22	.	.
ETBA1301	2013-11-03	307	25	10	0.147	15	.	.
ETBA1301	2013-11-17	321	25	10	0.115	12	.	.
ETBA1301	2013-11-30	334	25	10	0.122	12	.	.
ETBA1301	2013-12-29	363	25	10	0.088	9	.	.
ETBA1301	2013-06-05	156	35	10	0.231	23	.	.
ETBA1301	2013-06-22	173	35	10	.	.	.	.
ETBA1301	2013-07-14	195	35	10	0.336	34	.	.
ETBA1301	2013-06-30	181	35	10	0.275	28	.	.
ETBA1301	2013-07-27	208	35	10	0.342	34	.	.
ETBA1301	2013-08-11	223	35	10	0.373	37	.	.
ETBA1301	2013-08-25	237	35	10	0.354	35	.	.
ETBA1301	2013-09-13	256	35	10	0.344	34	.	.
ETBA1301	2013-09-21	264	35	10	0.348	35	.	.
ETBA1301	2013-10-07	280	35	10	0.308	31	.	.
ETBA1301	2013-10-20	293	35	10	0.320	32	.	.
ETBA1301	2013-11-03	307	35	10	0.223	22	.	.
ETBA1301	2013-11-17	321	35	10	0.216	22	.	.
ETBA1301	2013-11-30	334	35	10	0.202	20	.	.
