Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
MANT1001	2010-06-20	171	60	20	0.172	34	na	na
MANT1001	2010-06-30	181	60	20	0.183	37	na	na
MANT1001	2010-07-10	191	60	20	0.177	35	na	na
MANT1001	2010-07-20	201	60	20	0.175	35	na	na
MANT1001	2010-07-30	211	60	20	0.229	46	na	na
MANT1001	2010-08-09	221	60	20	0.239	48	na	na
MANT1001	2010-08-19	231	60	20	0.228	46	na	na
MANT1001	2010-08-30	242	60	20	0.213	43	na	na
MANT1001	2010-09-08	251	60	20	0.227	45	na	na
MANT1001	2010-06-01	152	80	20	0.200	40	na	na
MANT1001	2010-06-11	162	80	20	0.193	39	na	na
MANT1001	2010-06-20	171	80	20	0.200	40	na	na
MANT1001	2010-06-30	181	80	20	0.195	39	na	na
MANT1001	2010-07-10	191	80	20	0.205	41	na	na
MANT1001	2010-07-20	201	80	20	0.203	41	na	na
MANT1001	2010-07-30	211	80	20	0.246	49	na	na
MANT1001	2010-08-09	221	80	20	0.264	53	na	na
MANT1001	2010-08-19	231	80	20	0.261	52	na	na
MANT1001	2010-08-30	242	80	20	0.245	49	na	na
MANT1001	2010-09-08	251	80	20	0.240	48	na	na
GHKP0801	2008-05-04	125	15	15	0.294	44	na	na
GHKP0801	2008-05-18	139	15	15	0.277	42	na	na
GHKP0801	2008-06-01	153	15	15	0.261	39	na	na
GHKP0801	2008-06-15	167	15	15	0.283	42	na	na
GHKP0801	2008-06-29	181	15	15	0.254	38	na	na
GHKP0801	2008-05-04	125	30	15	0.345	52	na	na
GHKP0801	2008-05-18	139	30	15	0.310	47	na	na
GHKP0801	2008-06-01	153	30	15	0.296	44	na	na
GHKP0801	2008-06-15	167	30	15	0.329	49	na	na
GHKP0801	2008-06-29	181	30	15	0.265	40	na	na
ETBA1401	2014-01-26	26	15	15	na	na	na	na
ETBA1401	2014-03-01	60	15	15	na	na	na	na
ETBA1401	2014-04-03	93	15	15	na	na	na	na
ETBA1401	2014-05-08	128	15	15	0.012	2	na	na
ETBA1401	2014-05-31	151	15	15	0.069	10	na	na
ETBA1401	2014-06-15	166	15	15	0.124	19	na	na
ETBA1401	2014-06-29	180	15	15	0.167	25	na	na
ETBA1401	2014-07-13	194	15	15	0.194	29	na	na
ETBA1401	2014-07-27	208	15	15	0.184	28	na	na
ETBA1401	2014-08-10	222	15	15	0.198	30	na	na
ETBA1401	2014-08-17	229	15	15	0.204	31	na	na
ETBA1401	2014-08-31	243	15	15	0.292	44	na	na
ETBA1401	2014-01-26	26	25	10	0.091	9	na	na
